model,split,metric,value,stdev,mode,date,seeds
GraphConv-PSC,warm,CI,0.9455572102178174,0.025262460570769356,evalcv,2020_01_08__02_17_10,1-8-64
GraphConv-PSC,warm,R2,0.8939367669902055,0.06436022310754477,evalcv,2020_01_08__02_17_10,1-8-64
GraphConv-RNN,cold drug,RMSE,0.8530584631977105,0.26104593668892107,evalcv,2020_01_08__17_07_48,1-8-64
GraphConv-RNN,cold drug,CI,0.6302940452229304,0.10992491244070215,evalcv,2020_01_08__17_07_48,1-8-64
GraphConv-RNN,cold drug,R2,0.10283832403313496,0.14805336055179488,evalcv,2020_01_08__17_07_48,1-8-64
GraphConv-RNN,cold target,RMSE,0.7411221737277087,0.1862789327338787,evalcv,2020_01_08__17_18_53,1-8-64
GraphConv-RNN,cold target,CI,0.7408896548227546,0.07107193759241452,evalcv,2020_01_08__17_18_53,1-8-64
GraphConv-RNN,cold target,R2,0.2801730036765852,0.13926234352246397,evalcv,2020_01_08__17_18_53,1-8-64
GraphConv-RNN,warm,RMSE,0.7463529591505873,0.18155201176469984,evalcv,2020_01_08__16_54_11,1-8-64
GraphConv-RNN,warm,CI,0.7715661981849077,0.0527149012184228,evalcv,2020_01_08__16_54_11,1-8-64
GraphConv-RNN,warm,R2,0.34618946526677685,0.13972776217498942,evalcv,2020_01_08__16_54_11,1-8-64
GNN-PSC,cold drug,RMSE,0.6158211483378767,0.14206335634970266,evalcv,2020_01_08__02_11_41,1-8-64
GNN-PSC,cold drug,CI,0.8194107217899401,0.059350675413395095,evalcv,2020_01_08__02_11_41,1-8-64
GNN-PSC,cold drug,R2,0.451400513698497,0.16847656092011765,evalcv,2020_01_08__02_11_41,1-8-64
GNN-PSC,cold target,RMSE,0.257308482571829,0.1592221142111301,evalcv,2020_01_08__02_07_19,1-8-64
GNN-PSC,cold target,CI,0.9545826253145226,0.04438859723223619,evalcv,2020_01_08__02_07_19,1-8-64
GNN-PSC,cold target,R2,0.8818302277382988,0.1439261749631033,evalcv,2020_01_08__02_07_19,1-8-64
GNN-PSC,warm,RMSE,0.2108422787556976,0.09531489244679155,evalcv,2020_01_08__02_01_35,1-8-64
GNN-PSC,warm,CI,0.9647663978097453,0.024529611325955086,evalcv,2020_01_08__02_01_35,1-8-64
GNN-PSC,warm,R2,0.926766959475031,0.07206644769542835,evalcv,2020_01_08__02_01_35,1-8-64
GNN-RNN,cold drug,RMSE,0.7251225389539365,0.21520667254163753,evalcv,2020_01_08__17_37_58,1-8-64
GNN-RNN,cold drug,CI,0.7535275639383178,0.07226641989730904,evalcv,2020_01_08__17_37_58,1-8-64
GNN-RNN,cold drug,R2,0.29351076716321833,0.1722753843513059,evalcv,2020_01_08__17_37_58,1-8-64
GNN-RNN,cold target,RMSE,0.6827359889661132,0.19383458060158928,evalcv,2020_01_08__17_42_45,1-8-64
GNN-RNN,cold target,CI,0.793191120063805,0.06739604645338752,evalcv,2020_01_08__17_42_45,1-8-64
GNN-RNN,cold target,R2,0.36514163841691805,0.16437299316860127,evalcv,2020_01_08__17_42_45,1-8-64
GNN-RNN,warm,RMSE,0.5190607815024082,0.14674363836710216,evalcv,2020_01_08__17_25_44,1-8-64
GNN-RNN,warm,CI,0.8625972457470152,0.04557627277042999,evalcv,2020_01_08__17_25_44,1-8-64
GNN-RNN,warm,R2,0.637186903035136,0.15492605446701552,evalcv,2020_01_08__17_25_44,1-8-64
Weave-PCNNA,cold drug,RMSE,0.7619107216765,0.22124963295946304,evalcv,2020_01_08__14_59_10,1-8-64
Weave-PCNNA,cold drug,CI,0.7257063407943344,0.06790611458190082,evalcv,2020_01_08__14_59_10,1-8-64
Weave-PCNNA,cold drug,R2,0.20099376528521676,0.13312042120779963,evalcv,2020_01_08__14_59_10,1-8-64
Weave-PCNNA,cold target,RMSE,0.7517351598938058,0.2177596030952692,evalcv,2020_01_08__15_14_45,1-8-64
Weave-PCNNA,cold target,CI,0.7616928470524067,0.05552158749502029,evalcv,2020_01_08__15_14_45,1-8-64
Weave-PCNNA,cold target,R2,0.2605209355997163,0.13054430946459164,evalcv,2020_01_08__15_14_45,1-8-64
Weave-PCNNA,warm,RMSE,0.756542415657612,0.196365336563807,evalcv,2020_01_08__14_47_10,1-8-64
Weave-PCNNA,warm,CI,0.7600156425744047,0.050168192705307695,evalcv,2020_01_08__14_47_10,1-8-64
Weave-PCNNA,warm,R2,0.2571018793773332,0.11830603793895952,evalcv,2020_01_08__14_47_10,1-8-64
Weave-PSC,cold drug,RMSE,0.39087963055512864,0.16246775010820586,evalcv,2020_01_08__01_39_40,1-8-64
Weave-PSC,cold drug,CI,0.898428092187685,0.06437120251959245,evalcv,2020_01_08__01_39_40,1-8-64
Weave-PSC,cold drug,R2,0.7595839069167678,0.1772053167701868,evalcv,2020_01_08__01_39_40,1-8-64
Weave-PSC,cold target,RMSE,0.33963515385202386,0.11819479516143024,evalcv,2020_01_08__01_50_04,1-8-64
Weave-PSC,cold target,CI,0.9241272175787004,0.039876443622332815,evalcv,2020_01_08__01_50_04,1-8-64
Weave-PSC,cold target,R2,0.8238027122389986,0.12517910193478607,evalcv,2020_01_08__01_50_04,1-8-64
Weave-PSC,warm,RMSE,0.300701078724087,0.08564008138510652,evalcv,2020_01_08__01_28_01,1-8-64
Weave-PSC,warm,CI,0.9382192939012408,0.024807080749738163,evalcv,2020_01_08__01_28_01,1-8-64
Weave-PSC,warm,R2,0.8717798581929729,0.06664047476614936,evalcv,2020_01_08__01_28_01,1-8-64
Weave-RNN,cold drug,RMSE,0.781189873756832,0.17371668187192352,evalcv,2020_01_08__16_27_39,1-8-64
Weave-RNN,cold drug,CI,0.7129052794258418,0.06996962695751548,evalcv,2020_01_08__16_27_39,1-8-64
Weave-RNN,cold drug,R2,0.19008182103175347,0.1326680763262882,evalcv,2020_01_08__16_27_39,1-8-64
Weave-RNN,cold target,RMSE,0.7530241569601446,0.20786349007081886,evalcv,2020_01_08__16_40_17,1-8-64
Weave-RNN,cold target,CI,0.7499372829846981,0.05851830248939577,evalcv,2020_01_08__16_40_17,1-8-64
Weave-RNN,cold target,R2,0.26368768948695,0.13004125368141933,evalcv,2020_01_08__16_40_17,1-8-64
Weave-RNN,warm,RMSE,0.6741249347019651,0.13353470969698208,evalcv,2020_01_08__16_11_46,1-8-64
Weave-RNN,warm,CI,0.8060812776579821,0.04265655359440069,evalcv,2020_01_08__16_11_46,1-8-64
Weave-RNN,warm,R2,0.3942520634024228,0.11675133831284633,evalcv,2020_01_08__16_11_46,1-8-64
